NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-07-15;2020-07-21;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-15;2020-07-21;No;13.3208;0.833333;6.8507;3;239.7752;105;0.9615;0;0;0
ALT CAMP;01;2020-07-14;2020-07-20;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-14;2020-07-20;No;11.0373;0.690476;6.8507;3;237.4917;104;0.9709;0;0;0
ALT CAMP;01;2020-07-13;2020-07-19;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-13;2020-07-19;No;6.25264;0.547619;2.2835;1;251.1931;110;0.0000;0;0;0
ALT CAMP;01;2020-07-12;2020-07-18;No;11.146;0.97619;4.5671;2;251.1931;110;0.0000;0;0;0
ALT CAMP;01;2020-07-12;2020-07-18;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-11;2020-07-17;No;12.7771;1.11905;4.5671;2;260.3274;114;0.0000;0;0;0
ALT CAMP;01;2020-07-11;2020-07-17;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-10;2020-07-16;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-10;2020-07-16;No;17.1268;1.5;9.1342;4;244.3424;107;0.0000;0;0;0
ALT CAMP;01;2020-07-09;2020-07-15;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-09;2020-07-15;No;17.9424;1.57143;6.8507;3;228.3574;100;0.0000;0;0;0
ALT CAMP;01;2020-07-08;2020-07-14;Si;;;0.0000;0;201.2072;1;0.0000;0;0;0
ALT CAMP;01;2020-07-08;2020-07-14;No;19.5735;1.71429;9.1342;4;214.6559;94;1.0638;0;0;0
ALT CAMP;01;2020-07-07;2020-07-13;No;21.5308;1.57143;9.1342;4;198.6709;87;1.1494;0;0;0
ALT CAMP;01;2020-07-07;2020-07-13;Si;;;0.0000;0;201.2072;1;0.0000;0;0;0
ALT CAMP;01;2020-07-06;2020-07-12;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-07-06;2020-07-12;No;19.5735;1.42857;9.1342;4;159.8501;70;1.4286;0;0;0
ALT CAMP;01;2020-07-05;2020-07-11;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-07-05;2020-07-11;No;11.4179;1.0;6.8507;3;152.9994;67;1.4925;0;0;0
ALT CAMP;01;2020-07-04;2020-07-10;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
ALT CAMP;01;2020-07-04;2020-07-10;No;9.78675;0.857143;6.8507;3;139.2980;61;1.6393;0;0;0
ALT CAMP;01;2020-07-03;2020-07-09;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
ALT CAMP;01;2020-07-03;2020-07-09;No;3.9147;0.571429;2.2835;1;137.0144;60;1.6667;0;0;0
ALT CAMP;01;2020-07-02;2020-07-08;No;4.89337;0.714286;4.5671;2;150.7159;66;3.0303;0;0;0
ALT CAMP;01;2020-07-02;2020-07-08;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-07-01;2020-07-07;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-07-01;2020-07-07;No;3.26225;0.714286;2.2835;1;155.2830;68;2.9412;0;0;0
ALT CAMP;01;2020-06-30;2020-07-06;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-06-30;2020-07-06;No;3.9147;0.857143;4.5671;2;166.7009;73;2.7397;0;0;0
ALT CAMP;01;2020-06-29;2020-07-05;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
ALT CAMP;01;2020-06-29;2020-07-05;No;3.9147;0.857143;4.5671;2;189.5366;83;2.4390;0;0;0
ALT CAMP;01;2020-06-28;2020-07-04;No;3.9147;0.857143;4.5671;2;198.6709;87;2.3256;0;0;0
ALT CAMP;01;2020-06-28;2020-07-04;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
ALT CAMP;01;2020-06-27;2020-07-03;No;3.26225;0.714286;4.5671;2;210.0888;92;2.1978;0;0;0
ALT CAMP;01;2020-06-27;2020-07-03;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-06-26;2020-07-02;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-06-26;2020-07-02;No;2.6098;0.571429;4.5671;2;221.5067;97;2.0833;0;0;0
ALT CAMP;01;2020-06-25;2020-07-01;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-06-25;2020-07-01;No;0.65245;0.285714;2.2835;1;205.5216;90;1.1236;0;0;0
ALT CAMP;01;2020-06-24;2020-06-30;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-06-24;2020-06-30;No;0.326225;0.142857;2.2835;1;166.7009;73;0.0000;0;0;0
ALT CAMP;01;2020-06-23;2020-06-29;No;0.0;0.0;0.0000;0;141.5816;62;0.0000;0;0;0
ALT CAMP;01;2020-06-23;2020-06-29;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
ALT CAMP;01;2020-06-22;2020-06-28;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-06-22;2020-06-28;No;0.0;0.0;0.0000;0;127.8801;56;0.0000;0;0;0
ALT CAMP;01;2020-06-21;2020-06-27;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-06-21;2020-06-27;No;0.0;0.0;0.0000;0;123.3130;54;0.0000;0;0;0
ALT CAMP;01;2020-06-20;2020-06-26;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-06-20;2020-06-26;No;0.0;0.0;0.0000;0;114.1787;50;0.0000;0;0;0
ALT CAMP;01;2020-06-19;2020-06-25;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
